DataJamID,Year,AnnualGas_kBtu
7,2010,45200
10,2010,21000
12,2010,35600
24,2010,35900
35,2010,57600
54,2010,39400
57,2010,75300
59,2010,40700
64,2010,55200
68,2010,45000
70,2010,31800
71,2010,37200
75,2010,39900
78,2010,64600
86,2010,51100
91,2010,58200
102,2010,23900
111,2010,37700
115,2010,20500
116,2010,28700
117,2010,35900
118,2010,38100
119,2010,66300
121,2010,28800
126,2010,33100
130,2010,8700
135,2010,55400
137,2010,57700
138,2010,22100
140,2010,53100
144,2010,17800
145,2010,62000
158,2010,26600
160,2010,51900
177,2010,41300
178,2010,66500
188,2010,45400
189,2010,35400
195,2010,12700
198,2010,87400
207,2010,16000
208,2010,49600
209,2010,57900
224,2010,38000
228,2010,73300
231,2010,17300
237,2010,44000
241,2010,22700
243,2010,24200
248,2010,14500
249,2010,32000
250,2010,17100
253,2010,7600
254,2010,23900
255,2010,79300
257,2010,27500
258,2010,56000
268,2010,24700
269,2010,49100
270,2010,63700
278,2010,27500
280,2010,25100
283,2010,32300
284,2010,37600
288,2010,40300
290,2010,21500
292,2010,28500
293,2010,35100
294,2010,20300
299,2010,37500
306,2010,28900
320,2010,25700
325,2010,27600
329,2010,27800
331,2010,51600
340,2010,64300
346,2010,33000
347,2010,45000
350,2010,74200
356,2010,90300
359,2010,21100
361,2010,50100
368,2010,76200
369,2010,18100
371,2010,25400
377,2010,8700
400,2010,30200
407,2010,24900
409,2010,26900
413,2010,21000
416,2010,23000
449,2010,8000
455,2010,37000
460,2010,22300
467,2010,38400
471,2010,20300
483,2010,46500
517,2010,62600
519,2010,53200
522,2010,49400
525,2010,20900
534,2010,30200
540,2010,31600
541,2010,35900
544,2010,28600
549,2010,10100
556,2010,35400
560,2010,17100
562,2010,56900
563,2010,33400
564,2010,39100
566,2010,36700
567,2010,78100
568,2010,70900
569,2010,30200
571,2010,39700
575,2010,39400
576,2010,30500
577,2010,64600
578,2010,24400
579,2010,24500
580,2010,25400
581,2010,12300
583,2010,5400
584,2010,10400
587,2010,13400
589,2010,11700
590,2010,40100
591,2010,6400
592,2010,9500
593,2010,35500
594,2010,14500
595,2010,45100
597,2010,17200
598,2010,8900
599,2010,32600
603,2010,48300
606,2010,47900
631,2010,34100
634,2010,67200
636,2010,14700
645,2010,46200
648,2010,54200
649,2010,54700
651,2010,29900
658,2010,21900
661,2010,28000
664,2010,46800
667,2010,71200
674,2010,65700
676,2010,5800
679,2010,13200
680,2010,65600
682,2010,39300
702,2010,36300
703,2010,44100
707,2010,6500
719,2010,24600
721,2010,24400
723,2010,31200
729,2010,27400
734,2010,10400
735,2010,78400
743,2010,69500
745,2010,27200
746,2010,40800
750,2010,35900
753,2010,83100
755,2010,48900
756,2010,67600
759,2010,17200
768,2010,34600
780,2010,33600
785,2010,65800
790,2010,35300
793,2010,66300
806,2010,96300
830,2010,53600
837,2010,86100
840,2010,52600
842,2010,36900
845,2010,47800
846,2010,65700
850,2010,50700
867,2010,55900
873,2010,14000
879,2010,39400
889,2010,48200
890,2010,50900
892,2010,47100
894,2010,37800
913,2010,35500
921,2010,22100
954,2010,35100
957,2010,38200
958,2010,50500
961,2010,61200
966,2010,36000
969,2010,58400
973,2010,19700
974,2010,29700
976,2010,29000
979,2010,55900
994,2010,25700
995,2010,44600
1002,2010,50500
1011,2010,51700
1025,2010,64300
1032,2010,64400
1033,2010,36700
1039,2010,20800
1040,2010,40300
1049,2010,28000
1054,2010,45500
1066,2010,15200
1068,2010,45500
1072,2010,29400
1079,2010,39900
1086,2010,84700
1090,2010,34300
1093,2010,8300
1105,2010,69200
1110,2010,39300
1116,2010,53200
1123,2010,77500
1129,2010,21100
1135,2010,28400
1138,2010,51100
1142,2010,38300
1143,2010,84200
1145,2010,41900
1154,2010,26900
1155,2010,141300
1163,2010,78400
1164,2010,68100
1170,2010,62700
1182,2010,54300
1183,2010,21200
1186,2010,42000
1189,2010,43200
1198,2010,73800
1202,2010,45800
1205,2010,38900
1210,2010,62000
1213,2010,53300
1214,2010,42800
1227,2010,37300
1232,2010,40200
1244,2010,42800
1252,2010,57100
1255,2010,70600
1262,2010,25600
1270,2010,20800
1275,2010,33700
1279,2010,36500
1280,2010,47200
1301,2010,76800
1303,2010,48000
1304,2010,37000
1305,2010,56900
1310,2010,45900
1315,2010,46200
1318,2010,47300
